2729CA,9,,Hillegersbergstraat,Zoetermeer
2729CB,12,,Hoogmadestraat,Zoetermeer
2729CB,4,,Hoogmadestraat,Zoetermeer
2729CC,31,,Heenvlietstraat,Zoetermeer
2729CC,43,,Heenvlietstraat,Zoetermeer
2727HP,16,,Rosweide,Zoetermeer
2727HR,5,,Stierenweide,Zoetermeer
2727HR,9,,Stierenweide,Zoetermeer
2727HS,18,,Stierenweide,Zoetermeer
2727HS,25,,Stierenweide,Zoetermeer
2727HT,5,,Runderweide,Zoetermeer
2728GL,12,,Kraijenhoffschans,Zoetermeer
2728GL,16,,Kraijenhoffschans,Zoetermeer
2728GL,20,,Kraijenhoffschans,Zoetermeer
2728GM,16,,Klinckaertschans,Zoetermeer
2728GM,18,,Klinckaertschans,Zoetermeer
2728GM,24,,Klinckaertschans,Zoetermeer
2728GM,3,,Klinckaertschans,Zoetermeer
2728GM,5,,Klinckaertschans,Zoetermeer
2728GM,6,,Klinckaertschans,Zoetermeer
2728GM,8,,Klinckaertschans,Zoetermeer
2728GN,13,,Leeghwaterschans,Zoetermeer
2728GN,4,,Leeghwaterschans,Zoetermeer
2728NS,1,,Howardruimte,Zoetermeer
2728NS,11,,Howardruimte,Zoetermeer
