1501ZN,57,,Jan Hendrik op den Veldestraat,Zaandam
1501ZN,43,,Jan Hendrik op den Veldestraat,Zaandam
1521AN,53,,Vestaplein,Wormerveer
1521AN,52,,Vestaplein,Wormerveer
1521AN,63,,Vestaplein,Wormerveer
1521AN,49,,Vestaplein,Wormerveer
1551SJ,8,,Weiver,Westzaan
1544NX,193,,George Gershwinstraat,Zaandijk
1521EV,28,,Wilgenkade,Wormerveer
1521EV,27,,Wilgenkade,Wormerveer
1521EV,29,,Wilgenkade,Wormerveer
1505WD,111,,Pieter Jelles Troelstralaan,Zaandam
1501TG,3,,Burgemeester Ter Laanstraat,Zaandam
1501TH,41,,Burgemeester Ter Laanstraat,Zaandam
1501TH,47,,Burgemeester Ter Laanstraat,Zaandam
1501TG,31,,Burgemeester Ter Laanstraat,Zaandam
1501TL,48,,Burgemeester Ter Laanstraat,Zaandam
1521EV,25,,Wilgenkade,Wormerveer
1521ET,18,,Wilgenkade,Wormerveer
1521EV,23,,Wilgenkade,Wormerveer
1521ET,22,,Wilgenkade,Wormerveer
1521ET,20,,Wilgenkade,Wormerveer
1521ET,19,,Wilgenkade,Wormerveer
1551PL,149,,Veldweg,Westzaan
1551BC,91,,Watermolenstraat,Westzaan
1501TG,5,,Burgemeester Ter Laanstraat,Zaandam
1501TL,50,,Burgemeester Ter Laanstraat,Zaandam
1501TH,75,,Burgemeester Ter Laanstraat,Zaandam
1501TG,37,,Burgemeester Ter Laanstraat,Zaandam
1501TG,29,,Burgemeester Ter Laanstraat,Zaandam
1501TL,40,,Burgemeester Ter Laanstraat,Zaandam
1521EV,26,,Wilgenkade,Wormerveer
1551SC,37,,Weiver,Westzaan
1551PM,171,,Veldweg,Westzaan
1521EL,4,,Acacialaan,Wormerveer
1551PM,175,,Veldweg,Westzaan
1502VJ,25,,P.C. Allstraat,Zaandam
1544LV,30,,Dizzy Gillespiestraat,Zaandijk
1544LV,34,,Dizzy Gillespiestraat,Zaandijk
1544LV,36,,Dizzy Gillespiestraat,Zaandijk
1544LV,60,,Dizzy Gillespiestraat,Zaandijk
1502VK,30,,P.C. Allstraat,Zaandam
1521SV,19,,Ruijsdaelkade,Wormerveer
1521SM,12,,Rembrandtkade,Wormerveer
1521PD,37,,Noorddijk,Wormerveer
1521SL,5,,Seramstraat,Wormerveer
1551PB,94,,Overtoom,Westzaan
1521EN,5,,Beukenweg,Wormerveer
1521SM,11,,Rembrandtkade,Wormerveer
1502VJ,31,,P.C. Allstraat,Zaandam
1502VK,32,,P.C. Allstraat,Zaandam
1502VJ,33,,P.C. Allstraat,Zaandam
1502VK,28,,P.C. Allstraat,Zaandam
1507WB,28,,S. Lootsmastraat,Zaandam
1505WB,3,,Pieter Jelles Troelstralaan,Zaandam
1521SM,10,,Rembrandtkade,Wormerveer
1521SM,9,,Rembrandtkade,Wormerveer
1521SM,8,,Rembrandtkade,Wormerveer
1507BX,10,,De Tribune,Zaandam
1507BX,12,,De Tribune,Zaandam
1507BX,14,,De Tribune,Zaandam
1504AG,7,,De Weer,Zaandam
1504AG,9,,De Weer,Zaandam
1544WD,28,,Antonie de Vriesstraat,Zaandijk
1544WD,26,,Antonie de Vriesstraat,Zaandijk
1544WD,30,,Antonie de Vriesstraat,Zaandijk
1544WD,32,,Antonie de Vriesstraat,Zaandijk
1544WD,2,,Antonie de Vriesstraat,Zaandijk
1544WD,12,,Antonie de Vriesstraat,Zaandijk
1507PP,67,,Eline Vereplantsoen,Zaandam
1507PP,69,,Eline Vereplantsoen,Zaandam
1502TA,19,,Zuidervaldeurstraat,Zaandam
1507CL,14,,Zilverling,Zaandam
