2612AG,10,,Bankastraat,Delft
2612AG,16,,Bankastraat,Delft
2612AG,26,,Bankastraat,Delft
2612AH,32,,Bankastraat,Delft
2612AH,42,,Bankastraat,Delft
2612AH,48,,Bankastraat,Delft
2612AG,4,,Bankastraat,Delft
2612AK,2,,Celebesstraat,Delft
2612BA,109,,Ternatestraat,Delft
2612BA,111,,Ternatestraat,Delft
2612CA,1,,Brasserskade,Delft
2612CJ,194,,Brasserskade,Delft
2612HA,2,,Sint Eustatiusstraat,Delft
2612HA,4,,Sint Eustatiusstraat,Delft
2612HA,6,,Sint Eustatiusstraat,Delft
2612HA,8,,Sint Eustatiusstraat,Delft
2612HA,10,,Sint Eustatiusstraat,Delft
2612GZ,2,,Bonairestraat,Delft
2612GZ,4,,Bonairestraat,Delft
2612GZ,6,,Bonairestraat,Delft
2612GZ,8,,Bonairestraat,Delft
2612GZ,10,,Bonairestraat,Delft
2612GZ,12,,Bonairestraat,Delft
2612HA,1,,Sint Eustatiusstraat,Delft
2612HA,3,,Sint Eustatiusstraat,Delft
2612HA,5,,Sint Eustatiusstraat,Delft
2612HA,7,,Sint Eustatiusstraat,Delft
2612HA,9,,Sint Eustatiusstraat,Delft
2612HA,11,,Sint Eustatiusstraat,Delft
2612CB,77,,Brasserskade,Delft
2612EC,20,,Molukkenstraat,Delft
2612EC,21,,Molukkenstraat,Delft
2612EC,23,,Molukkenstraat,Delft
2612EC,24,,Molukkenstraat,Delft
2612EC,25,,Molukkenstraat,Delft
2612ED,1,,Balistraat,Delft
2612ED,15,,Balistraat,Delft
2612EE,29,,Balistraat,Delft
2612EE,43,,Balistraat,Delft
2612ED,3,,Balistraat,Delft
2612ED,17,,Balistraat,Delft
2612EE,31,,Balistraat,Delft
2612EE,45,,Balistraat,Delft
2612ED,5,,Balistraat,Delft
2612ED,19,,Balistraat,Delft
2612EE,33,,Balistraat,Delft
