8607EH,27,,Rode Klaver,Sneek
8603VW,15,,Vesperstraat,Sneek
8603VW,13,,Vesperstraat,Sneek
8603VW,17,,Vesperstraat,Sneek
8601BX,15,,Gedempte Pol,Sneek
8601BX,17,,Gedempte Pol,Sneek
8601BX,19,,Gedempte Pol,Sneek
8603XL,16,,Schoolstraat,Sneek
8607EH,23,,Rode Klaver,Sneek
8601BD,15,,Suupmarkt,Sneek
8603XB,36,,Parallelweg,Sneek
8603XB,37,,Parallelweg,Sneek
8607EH,21,,Rode Klaver,Sneek
8607EH,19,,Rode Klaver,Sneek
8607ET,12,,Wilgeroosje,Sneek
8601AP,4,,Lange Pijpsteeg,Sneek
8607EH,17,,Rode Klaver,Sneek
8607EH,15,,Rode Klaver,Sneek
8607ET,11,,Wilgeroosje,Sneek
8603AB,13,,Looxmagracht,Sneek
8603VW,4,,Vesperstraat,Sneek
8601AG,37,,Singel,Sneek
8601CC,12,,Wijde Burgstraat,Sneek
8603XE,14,,Kloosterhof,Sneek
8607CA,27,,Hanso Mollstraat,Sneek
8607CA,29,,Hanso Mollstraat,Sneek
8603XL,18,,Schoolstraat,Sneek
8603XJ,32,,Kloosterstraat,Sneek
8607EH,25,,Rode Klaver,Sneek
8601AW,18,,Grootzand,Sneek
8607CA,33,,Hanso Mollstraat,Sneek
8601CC,16,,Wijde Burgstraat,Sneek
8602CK,31,,Breewijd,Sneek
8602CK,33,,Breewijd,Sneek
8603XK,3,,Schoolstraat,Sneek
8603XS,32,,Looxmastraat,Sneek
8603VW,2,,Vesperstraat,Sneek
8603XR,31,,Looxmastraat,Sneek
8603XR,33,,Looxmastraat,Sneek
8603XR,35,,Looxmastraat,Sneek
8603XE,16,,Kloosterhof,Sneek
8607GA,6,,Zilverschoon,Sneek
8603AB,12,,Looxmagracht,Sneek
8603XL,20,,Schoolstraat,Sneek
8601AM,82,,Singel,Sneek
8601AM,84,,Singel,Sneek
8603XE,22,,Kloosterhof,Sneek
8603XJ,36,,Kloosterstraat,Sneek
8607AD,20,,Prinsengracht,Sneek
8603XD,9,,Kloosterhof,Sneek
8607EV,33,,Wilgeroosje,Sneek
8607EV,34,,Wilgeroosje,Sneek
8603XJ,34,,Kloosterstraat,Sneek
8602VP,8,,Spitaal,Sneek
8602VP,9,,Spitaal,Sneek
8601AB,8,,Kleine Palen,Sneek
8602VP,7,,Spitaal,Sneek
8601CC,8,,Wijde Burgstraat,Sneek
8607EV,37,,Wilgeroosje,Sneek
8607EV,38,,Wilgeroosje,Sneek
8603XS,30,,Looxmastraat,Sneek
8603XL,22,,Schoolstraat,Sneek
8601AH,55,,Singel,Sneek
8603XD,17,,Kloosterhof,Sneek
8607EV,25,,Wilgeroosje,Sneek
8603XR,29,,Looxmastraat,Sneek
