5688LK,55,,Nieuwedijk,Oirschot
5688KA,35,,Leeuwerikstraat,Oirschot
5688BM,11,,Lindenlaan,Oirschot
5688VZ,14,,Zoete Ermgaard,Oirschot
5688AR,12,,Dekanijstraat,Oirschot
5688DJ,7,,Steenakkerstraat,Oirschot
5688SK,8,,het Luiwerk,Oirschot
5688LS,1,,Soeperdonken,Oirschot
5688TR,21,,de Gaanderij,Oirschot
5688PH,38,,Castaert,Oirschot
5688TR,18,,de Gaanderij,Oirschot
5688BX,8,,Kwinkert,Oirschot
5688AH,6,,Koestraat,Oirschot
5688NK,7,,de Bollen,Oirschot
5688SP,133,,Spoordonkseweg,Oirschot
5688CG,24,,Kortenaarlaan,Oirschot
5688DE,22,,Raamslegerstraat,Oirschot
5688NE,1,,Heldersestraat,Oirschot
5688VV,11,,Goudrenet,Oirschot
5688XG,14,,den Uitvanck,Oirschot
5688PH,6,,Castaert,Oirschot
5688ER,23,,de Moriaan,Oirschot
5688CM,7,,Jan van Speyklaan,Oirschot
5688BW,1,,Moosbroek,Oirschot
5688TT,22,,de Toog,Oirschot
5688BD,39,,Nieuwstraat,Oirschot
5688JJ,3,,Reijzings,Oirschot
5688AX,14,,Gasthuisstraat,Oirschot
5688TS,51,,de Korenaar,Oirschot
5688ND,1,,de Bleek,Oirschot
5688BV,10,,Helpad,Oirschot
5688TK,12,,Blazoen,Oirschot
5688EL,28,,Heistraat,Oirschot
5688TR,43,,de Gaanderij,Oirschot
5688DD,10,,Schoemekerstraat,Oirschot
5688RV,30,,de Donk,Oirschot
5688PG,92,,Castaert,Oirschot
5688EM,10,,den Heuvel,Oirschot
5688KL,26,,Merodelaan,Oirschot
5688RD,47,,van Aerlestraat,Oirschot
5688RC,28,,van Mellincrodestraat,Oirschot
5688PN,3,,Elsenwas,Oirschot
5688GW,5,,Wintelresedijk,Oirschot
5688RL,2,,het Veld,Oirschot
5688NX,8,,de Stad,Oirschot
5688PJ,45,,Castaert,Oirschot
5688TH,9,,Vendelierstraat,Oirschot
5688MB,83,,Oude Grintweg,Oirschot
5688BS,13,,Jan van Galenstraat,Oirschot
5688VN,13,,de Rentmeester,Oirschot
5688PK,25,,Nevenakker,Oirschot
5688JN,3,,Bekersberg,Oirschot
5688PV,3,,Mostakker,Oirschot
5688CL,52,,Michiel de Ruyterlaan,Oirschot
5688PE,15,,Haverhof,Oirschot
5688RT,21,,de Donk,Oirschot
5688DJ,9,,Steenakkerstraat,Oirschot
5688BH,25,,Begijnhof,Oirschot
5688NC,1,,Schansstraat,Oirschot
5688GN,5,,Eindhovensedijk,Oirschot
5688JN,9,,Bekersberg,Oirschot
5688KM,3,,Sweerts de Landasstraat,Oirschot
5688BT,4,,Maarten Tromplaan,Oirschot
5688VL,7,,de Baljuw,Oirschot
5688MB,66,,Oude Grintweg,Oirschot
5688RE,4,,van Aerlestraat,Oirschot
5688EK,12,,Wilhelminakade,Oirschot
5688MR,1,,Piekenhoek,Oirschot
5688MA,4,,Oude Grintweg,Oirschot
5688KC,99,,Spoordonkseweg,Oirschot
5688CH,10,,de Helleweikes,Oirschot
5688JH,8,,Proosbroekweg,Oirschot
5688TL,12,,St. Sebastiaanstraat,Oirschot
5688JW,4,,Broekstraat,Oirschot
5688PB,3,,Cloete,Oirschot
5688TS,30,,de Korenaar,Oirschot
5688TC,8,,Koningstraat,Oirschot
5688JM,1,,Kattenberg,Oirschot
5688TX,1,,de Kruibok,Oirschot
5688SL,9,,de Reep,Oirschot
5688JL,1,,Hakkelaren,Oirschot
5688SR,146,,Spoordonkseweg,Oirschot
5688KV,6,,van Leefdaelstraat,Oirschot
5688TC,10,,Koningstraat,Oirschot
5688SM,37,,de Beempd,Oirschot
5688SC,4,,de Pinbalk,Oirschot
5688CE,15,,Kortenaarlaan,Oirschot
5688NC,11,,Schansstraat,Oirschot
5688LK,7,,Nieuwedijk,Oirschot
5688PW,8,,Reeck,Oirschot
5688SR,143,,Spoordonkseweg,Oirschot
5688DC,11,,Ekkermanstraat,Oirschot
5688NN,1,,Bijsterveld,Oirschot
5688DJ,20,,Steenakkerstraat,Oirschot
5688NB,44,,Notel,Oirschot
5688VV,30,,Goudrenet,Oirschot
5688VV,8,,Goudrenet,Oirschot
5688VX,16,,Jonathan,Oirschot
5688CM,22,,Jan van Speyklaan,Oirschot
5688PJ,6,,Garstakker,Oirschot
5688VL,4,,de Baljuw,Oirschot
5688CM,12,,Jan van Speyklaan,Oirschot
5688TT,16,,de Toog,Oirschot
5688HD,9,,Beerseweg,Oirschot
5688PN,4,,Elsenwas,Oirschot
5688KB,55,,Spoordonkseweg,Oirschot
5688PK,5,,Nevenakker,Oirschot
5688RA,7,,Beertramsstraat,Oirschot
5688BM,25,,Lindenlaan,Oirschot
5688AW,85,,Gasthuisstraat,Oirschot
5688EB,13,,Dr van Wamelstraat,Oirschot
5688HT,130,,Kloosterstraat,Oirschot
5688BC,2,,Kerkstraat,Oirschot
5688LL,3,,Bremsteeg,Oirschot
5688PJ,19,,Castaert,Oirschot
5688TS,12,,de Korenaar,Oirschot
5688KT,1,,van Petershemstraat,Oirschot
5688KA,12,,Leeuwerikstraat,Oirschot
5688RC,16,,van Mellincrodestraat,Oirschot
5688LS,3,,Soeperdonken,Oirschot
5688SE,2,,het Bovenwiel,Oirschot
5688PT,8,,Struikakker,Oirschot
5688AP,2,,Schoolstraat,Oirschot
5688DA,1,,van Tuldenstraat,Oirschot
5688TT,15,,de Toog,Oirschot
5688CK,5,,Michiel de Ruyterlaan,Oirschot
5688DH,7,,Hoppenbrouwerstraat,Oirschot
5688PL,12,,Moerevelt,Oirschot
5688HK,13,,Papenvoorden,Oirschot
5688EM,20,,den Heuvel,Oirschot
5688JX,27,,Broekstraat,Oirschot
5688RH,6,,van Heesterbeeckstraat,Oirschot
5688HD,11,,Beerseweg,Oirschot
5688TS,18,,de Korenaar,Oirschot
5688DJ,16,,Steenakkerstraat,Oirschot
5688VM,13,,de Schepen,Oirschot
5688NP,54,,Bestseweg,Oirschot
5688GH,25,,Slingerbos,Oirschot
5688MP,2,,Liempdsedijk,Oirschot
5688GD,9,,Koningshof,Oirschot
5688EB,17,,Dr van Wamelstraat,Oirschot
5688TM,6,,St. Barbarastraat,Oirschot
5688AT,5,,Agnes van Kleefstraat,Oirschot
5688EM,2,,den Heuvel,Oirschot
5688KE,86,,Spoordonkseweg,Oirschot
5688EJ,30,,Kanaalstraat,Oirschot
5688LK,8,,Nieuwedijk,Oirschot
5688PR,12,,Stapakker,Oirschot
5688PA,8,,Beerendonk,Oirschot
5688TA,21,,Dr Feijstraat,Oirschot
5688KB,31,,Spoordonkseweg,Oirschot
5688RV,42,,de Donk,Oirschot
5688JT,4,,Geeneindseweg,Oirschot
5688PB,35,,Cloete,Oirschot
5688MA,7,,Oude Grintweg,Oirschot
5688DT,5,,van den Laeckstraat,Oirschot
5688EC,9,,Rijkesluisstraat,Oirschot
5688KB,21,,Spoordonkseweg,Oirschot
5688CZ,16,,Snellaertsstraat,Oirschot
5688HK,6,,Papenvoorden,Oirschot
5688HK,1,,Papenvoorden,Oirschot
5688CK,65,,Michiel de Ruyterlaan,Oirschot
5688RE,14,,van Aerlestraat,Oirschot
5688SG,19,,de Vang,Oirschot
5688DA,35,,van Tuldenstraat,Oirschot
