4142VB,53,,Patrimoniumstraat,Leerdam
4142VL,102,,Patrimoniumstraat,Leerdam
4142VC,109,,Patrimoniumstraat,Leerdam
4142VM,114,,Patrimoniumstraat,Leerdam
4142VM,122,,Patrimoniumstraat,Leerdam
4142VN,176,,Patrimoniumstraat,Leerdam
4142VE,181,,Patrimoniumstraat,Leerdam
4142VN,188,,Patrimoniumstraat,Leerdam
4142VP,194,,Patrimoniumstraat,Leerdam
4142VJ,253,,Patrimoniumstraat,Leerdam
4142VJ,265,,Patrimoniumstraat,Leerdam
4143GZ,14,,Pelgrimpad,Leerdam
4143JB,2,,Pfinztalstraat,Leerdam
4143JB,18,,Pfinztalstraat,Leerdam
4143JB,32,,Pfinztalstraat,Leerdam
4142ZP,8,,Ranonkelhof,Leerdam
4142ZP,14,,Ranonkelhof,Leerdam
4143HE,12,,Schaikseweg,Leerdam
4143HE,18,,Schaikseweg,Leerdam
4143LN,37,,Recht van ter Leede,Leerdam
4143GL,4,,Ridderspoor,Leerdam
4143GL,8,,Ridderspoor,Leerdam
4141ER,21,,Prinses Irenelaan,Leerdam
4141ER,27,,Prinses Irenelaan,Leerdam
4141ER,35,,Prinses Irenelaan,Leerdam
4141EV,6,,Prinses Margrietstraat,Leerdam
4141EV,12,,Prinses Margrietstraat,Leerdam
4141GB,35,,Prinses Marijkestraat,Leerdam
4141EG,3,,Prinsessenhof,Leerdam
4141EG,8,,Prinsessenhof,Leerdam
4141EG,15,,Prinsessenhof,Leerdam
4142CJ,6,,Quirinus de Palmelaan,Leerdam
4142AM,38,,Talmastraat,Leerdam
4142AM,48,,Talmastraat,Leerdam
4142AM,60,,Talmastraat,Leerdam
4143GA,9,,Palissade,Leerdam
4142WH,2,,Tamarindeplein,Leerdam
4142WH,10,,Tamarindeplein,Leerdam
4142WG,17,,Tamarindeplein,Leerdam
4143AW,156,,Sperwerlaan,Leerdam
4143AS,167,,Sperwerlaan,Leerdam
4143HD,75,,Schaikseweg,Leerdam
4142AR,37,,Schoolstraat,Leerdam
4142AT,44,,Schoolstraat,Leerdam
4142AR,49,,Schoolstraat,Leerdam
4142AR,57,,Schoolstraat,Leerdam
4142XN,5,,Siemensstraat,Leerdam
4142XR,54,,Siemensstraat,Leerdam
4141AS,4,,Singel,Leerdam
4141AS,9,,Singel,Leerdam
4141AS,20,,Singel,Leerdam
4141MS,6,,Skönvik,Leerdam
4141MS,13,,Skönvik,Leerdam
4163LK,211,,Lingedijk,Oosterwijk
4163LL,1,,Nortierstraat,Oosterwijk
4163LL,2,,Nortierstraat,Oosterwijk
4163LL,3,,Nortierstraat,Oosterwijk
4163LL,4,,Nortierstraat,Oosterwijk
4163LL,5,,Nortierstraat,Oosterwijk
4163LL,29,,Nortierstraat,Oosterwijk
4163LG,1,,Oudendijk,Oosterwijk
4163LG,3,,Oudendijk,Oosterwijk
4163LG,4,,Oudendijk,Oosterwijk
4163LG,5,,Oudendijk,Oosterwijk
4163LG,7,,Oudendijk,Oosterwijk
4163LG,9,,Oudendijk,Oosterwijk
4163LG,11,,Oudendijk,Oosterwijk
4247TK,4,,Achterdijk,Kedichem
4247TK,6,,Achterdijk,Kedichem
4247TK,8,,Achterdijk,Kedichem
4247TK,10,,Achterdijk,Kedichem
4247TK,12,,Achterdijk,Kedichem
4247TK,14,,Achterdijk,Kedichem
