5962NW,35,,Herenbosweg,Melderslo
5962NX,36,,Herenbosweg,Melderslo
5962NW,37,,Herenbosweg,Melderslo
5962NX,38,,Herenbosweg,Melderslo
5962NW,39,,Herenbosweg,Melderslo
5962NX,40,,Herenbosweg,Melderslo
5962NW,41,,Herenbosweg,Melderslo
5962NW,43,,Herenbosweg,Melderslo
5962NW,45,,Herenbosweg,Melderslo
5961GG,1,,Herstraat,Horst
5961GJ,2,,Herstraat,Horst
5961GG,3,,Herstraat,Horst
5961GJ,4,,Herstraat,Horst
5961GG,5,,Herstraat,Horst
5961GJ,6,,Herstraat,Horst
5961GG,7,,Herstraat,Horst
5961GJ,8,,Herstraat,Horst
5961GG,9,,Herstraat,Horst
5961GJ,10,,Herstraat,Horst
5961GG,1,1,Herstraat,Horst
5961GJ,12,,Herstraat,Horst
5961GG,13,,Herstraat,Horst
5961GJ,14,,Herstraat,Horst
5961GJ,16,,Herstraat,Horst
5961GG,17,,Herstraat,Horst
5961GJ,18,,Herstraat,Horst
5961GG,19,,Herstraat,Horst
5961GJ,20,,Herstraat,Horst
5961GG,21,,Herstraat,Horst
5961GJ,22,,Herstraat,Horst
5961GG,23,,Herstraat,Horst
5961GG,25,,Herstraat,Horst
5961GJ,26,,Herstraat,Horst
5961GJ,28,,Herstraat,Horst
5961GH,29,,Herstraat,Horst
5961GH,31,,Herstraat,Horst
5961GJ,32,,Herstraat,Horst
5961GJ,34,,Herstraat,Horst
5961GH,35,,Herstraat,Horst
5961GK,36,,Herstraat,Horst
5961GH,37,,Herstraat,Horst
5961GK,38,,Herstraat,Horst
5961GH,39,,Herstraat,Horst
5961GK,40,,Herstraat,Horst
5961GH,41,,Herstraat,Horst
5961GK,42,,Herstraat,Horst
5961GH,43,,Herstraat,Horst
5961GK,44,,Herstraat,Horst
5961GH,45,,Herstraat,Horst
5961GK,46,,Herstraat,Horst
5961GH,47,,Herstraat,Horst
5961GK,48,,Herstraat,Horst
5961GH,49,,Herstraat,Horst
5961GK,50,,Herstraat,Horst
5961GK,52,,Herstraat,Horst
5961GH,53,,Herstraat,Horst
5961GK,54,,Herstraat,Horst
5961GH,55,,Herstraat,Horst
5961GK,56,,Herstraat,Horst
5961RZ,4,,Kerkeveld,Horst
5961GH,57,,Herstraat,Horst
5961GK,58,,Herstraat,Horst
5961GH,59,,Herstraat,Horst
5961GK,60,,Herstraat,Horst
5961GH,61,,Herstraat,Horst
5961GH,71,,Herstraat,Horst
5961TA,3,,Hertog Arnoldlaan,Horst
5961TA,4,,Hertog Arnoldlaan,Horst
5961TA,5,,Hertog Arnoldlaan,Horst
5961TA,6,,Hertog Arnoldlaan,Horst
5961TA,7,,Hertog Arnoldlaan,Horst
5961TA,8,,Hertog Arnoldlaan,Horst
