1423PG,18,,Glanskopmees,Uithoorn
1423PC,43,,Azuurmees,Uithoorn
1423PC,45,,Azuurmees,Uithoorn
1423PC,47,,Azuurmees,Uithoorn
1423NB,34,,Boterdijk,Uithoorn
1423NB,36,,Boterdijk,Uithoorn
1423NB,38,,Boterdijk,Uithoorn
1424NP,7,,Vuurlijn,De Kwakel
1421KV,4,,Pieter Hellendaalweg,Uithoorn
1421KV,6,,Pieter Hellendaalweg,Uithoorn
1421KV,8,,Pieter Hellendaalweg,Uithoorn
1421KV,3,,Pieter Hellendaalweg,Uithoorn
1421KV,5,,Pieter Hellendaalweg,Uithoorn
1421KV,7,,Pieter Hellendaalweg,Uithoorn
1421KV,9,,Pieter Hellendaalweg,Uithoorn
1421KV,11,,Pieter Hellendaalweg,Uithoorn
1421KV,15,,Pieter Hellendaalweg,Uithoorn
1421KV,17,,Pieter Hellendaalweg,Uithoorn
1421KV,19,,Pieter Hellendaalweg,Uithoorn
1421KP,54,,Burgemeester Kootlaan,Uithoorn
1421KP,62,,Burgemeester Kootlaan,Uithoorn
1421KP,56,,Burgemeester Kootlaan,Uithoorn
1421KP,58,,Burgemeester Kootlaan,Uithoorn
1421KP,60,,Burgemeester Kootlaan,Uithoorn
1421KT,6,,Jan P. Sweelinckweg,Uithoorn
1421KT,8,,Jan P. Sweelinckweg,Uithoorn
1421KT,10,,Jan P. Sweelinckweg,Uithoorn
1421KT,12,,Jan P. Sweelinckweg,Uithoorn
1421KT,14,,Jan P. Sweelinckweg,Uithoorn
1421KT,16,,Jan P. Sweelinckweg,Uithoorn
1421KT,5,,Jan P. Sweelinckweg,Uithoorn
1421KV,10,,Pieter Hellendaalweg,Uithoorn
1421KV,12,,Pieter Hellendaalweg,Uithoorn
1421KV,14,,Pieter Hellendaalweg,Uithoorn
1421KV,1,,Pieter Hellendaalweg,Uithoorn
1422WN,94,,Vogellaan,Uithoorn
1422WN,96,,Vogellaan,Uithoorn
1422WN,98,,Vogellaan,Uithoorn
1422WN,100,,Vogellaan,Uithoorn
1422WN,102,,Vogellaan,Uithoorn
1422ZM,10,,Ringslang,Uithoorn
1422ZM,12,,Ringslang,Uithoorn
1422ZM,22,,Ringslang,Uithoorn
1422ZM,32,,Ringslang,Uithoorn
1422WN,104,,Vogellaan,Uithoorn
1422WN,106,,Vogellaan,Uithoorn
1422WN,108,,Vogellaan,Uithoorn
