7951WK,12,,De Enk,Staphorst
7951WK,14,,De Enk,Staphorst
7951WK,16,,De Enk,Staphorst
7951WK,18,,De Enk,Staphorst
7951WK,20,,De Enk,Staphorst
7951WK,22,,De Enk,Staphorst
7951WK,24,,De Enk,Staphorst
7951SM,2,,Weth Buitenhuisstraat,Staphorst
7951AJ,8,,Churchilllaan,Staphorst
7951SL,7,,Weth Kuijersstraat,Staphorst
7951CX,11,BIJ,Industrieweg,Staphorst
7951CX,11,NST,Industrieweg,Staphorst
7951WJ,13,,De Meente,Staphorst
7951WJ,15,,De Meente,Staphorst
7954GN,605,,Oude Rijksweg,Rouveen
7954GP,645,,Oude Rijksweg,Rouveen
7951WJ,11,,De Meente,Staphorst
7954GS,729,,Oude Rijksweg,Rouveen
7954GR,669,,Oude Rijksweg,Rouveen
7951GM,561,,Oude Rijksweg,Rouveen
7954GM,561,,Oude Rijksweg,Rouveen
7951XC,8,,Graanhof,Staphorst
7951XC,10,,Graanhof,Staphorst
7951XC,16,,Graanhof,Staphorst
7951XC,18,,Graanhof,Staphorst
7954GP,643,BIJ,Oude Rijksweg,Rouveen
7954PH,5,,Koezenkooiweg,Rouveen
7951SK,28,,Achthoevenweg,Staphorst
7951XC,12,,Graanhof,Staphorst
7951XC,14,,Graanhof,Staphorst
7951DG,12,,Muldersweg,Staphorst
7715PT,8,u2,Schapendijk,Punthorst
7954GC,19,,Korte Kerkweg,Rouveen
7954GC,23,,Korte Kerkweg,Rouveen
7954GC,21,,Korte Kerkweg,Rouveen
7954GC,25,,Korte Kerkweg,Rouveen
7951XK,15,,Haverveld,Staphorst
7951XK,13,,Haverveld,Staphorst
7951WK,3,,De Enk,Staphorst
7951WK,5,,De Enk,Staphorst
7951WK,11,,De Enk,Staphorst
7951WK,13,,De Enk,Staphorst
7951WK,1,,De Enk,Staphorst
7951WK,7,,De Enk,Staphorst
7951WK,9,,De Enk,Staphorst
7951WK,15,,De Enk,Staphorst
7951WK,19,,De Enk,Staphorst
7951WK,17,,De Enk,Staphorst
7955PP,1,101,Veldhuisweg,IJhorst
7955PP,2,101,Veldhuisweg,IJhorst
7955PP,3,101,Veldhuisweg,IJhorst
7955PP,1,102,Veldhuisweg,IJhorst
7955PP,4,101,Veldhuisweg,IJhorst
7955PP,6,101,Veldhuisweg,IJhorst
7955PP,1,105,Veldhuisweg,IJhorst
7955PP,7,101,Veldhuisweg,IJhorst
7955PP,1,106,Veldhuisweg,IJhorst
7955PP,8,101,Veldhuisweg,IJhorst
7955PP,1,107,Veldhuisweg,IJhorst
7955PP,9,101,Veldhuisweg,IJhorst
7955PP,1,108,Veldhuisweg,IJhorst
7955PP,10,101,Veldhuisweg,IJhorst
7955PP,1,109,Veldhuisweg,IJhorst
7955PP,11,101,Veldhuisweg,IJhorst
7955PP,1,110,Veldhuisweg,IJhorst
7955PP,5,101,Veldhuisweg,IJhorst
7955PP,1,104,Veldhuisweg,IJhorst
7951KB,8,,Rijksparallelweg,Staphorst
7715PT,8,u1,Schapendijk,Punthorst
7715PT,8,u3,Schapendijk,Punthorst
7951WE,14,,De Eugte,Staphorst
7951WE,16,,De Eugte,Staphorst
7951WE,18,,De Eugte,Staphorst
7951WE,20,,De Eugte,Staphorst
7951XC,5,,Graanhof,Staphorst
7951XC,3,,Graanhof,Staphorst
7951XC,1,,Graanhof,Staphorst
7951XJ,1,,Tarwehof,Staphorst
7951XJ,3,,Tarwehof,Staphorst
7951XJ,5,,Tarwehof,Staphorst
