2712XG,17,,Molenstraat,Zoetermeer
2712XG,21,,Molenstraat,Zoetermeer
2712XH,35,,Molenstraat,Zoetermeer
2712VB,14,,Jan Hoornstraat,Zoetermeer
2712VC,7,,Schoolstraat,Zoetermeer
2712VC,9,,Schoolstraat,Zoetermeer
2712VD,1,,5 Mei-Straat,Zoetermeer
2712VD,20,,5 Mei-Straat,Zoetermeer
2712VD,21,,5 Mei-Straat,Zoetermeer
2712VE,3,,Lindeplein,Zoetermeer
2712VL,21,,Cornelis van Eerdenstraat,Zoetermeer
2712VL,23,,Cornelis van Eerdenstraat,Zoetermeer
2712VL,25,,Cornelis van Eerdenstraat,Zoetermeer
2712VL,27,,Cornelis van Eerdenstraat,Zoetermeer
2712VL,41,,Cornelis van Eerdenstraat,Zoetermeer
2712VL,53,,Cornelis van Eerdenstraat,Zoetermeer
2712RL,15,,Potgieterstraat,Zoetermeer
2712RL,5,,Potgieterstraat,Zoetermeer
2712RL,9,,Potgieterstraat,Zoetermeer
2712RM,10,,Potgieterstraat,Zoetermeer
2712RM,18,,Potgieterstraat,Zoetermeer
