7415VS,1,,Frederik van Blankenheimstraat,Deventer
7415ZP,23,,Ansfriedpad,Deventer
7415XT,1,,Floris van Wevelinghovenstraat,Deventer
7415VT,2,1,Frederik van Blankenheimstraat,Deventer
7415VT,22,,Frederik van Blankenheimstraat,Deventer
7415VT,2,3,Frederik van Blankenheimstraat,Deventer
7415VT,24,,Frederik van Blankenheimstraat,Deventer
7415VT,2,5,Frederik van Blankenheimstraat,Deventer
7415VT,26,,Frederik van Blankenheimstraat,Deventer
7411RV,35,,Graaf van Burenstraat,Deventer
7411RX,36,,Graaf van Burenstraat,Deventer
7411RV,37,,Graaf van Burenstraat,Deventer
7411RX,38,,Graaf van Burenstraat,Deventer
7411RV,39,,Graaf van Burenstraat,Deventer
7411RX,40,,Graaf van Burenstraat,Deventer
7411RV,41,,Graaf van Burenstraat,Deventer
7411RX,42,,Graaf van Burenstraat,Deventer
7411RX,44,,Graaf van Burenstraat,Deventer
7411RV,45,,Graaf van Burenstraat,Deventer
7411RX,46,,Graaf van Burenstraat,Deventer
7411RX,48,,Graaf van Burenstraat,Deventer
7411RV,49,,Graaf van Burenstraat,Deventer
7411RV,51,,Graaf van Burenstraat,Deventer
7411RV,53,,Graaf van Burenstraat,Deventer
7411RV,55,,Graaf van Burenstraat,Deventer
7411RV,57,,Graaf van Burenstraat,Deventer
7411RV,59,,Graaf van Burenstraat,Deventer
7411RV,61,,Graaf van Burenstraat,Deventer
7411LT,25,,Graesplein,Deventer
7425CG,1,,Gratamastraat,Deventer
7425CG,2,,Gratamastraat,Deventer
7425CG,3,,Gratamastraat,Deventer
7425CG,4,,Gratamastraat,Deventer
7425CG,5,,Gratamastraat,Deventer
7425CG,6,,Gratamastraat,Deventer
7425CG,7,,Gratamastraat,Deventer
7425CG,8,,Gratamastraat,Deventer
7425CG,9,,Gratamastraat,Deventer
7425CG,10,,Gratamastraat,Deventer
7425CG,11,,Gratamastraat,Deventer
7425CG,12,,Gratamastraat,Deventer
7425CG,13,,Gratamastraat,Deventer
7425CG,14,,Gratamastraat,Deventer
7425CG,15,,Gratamastraat,Deventer
7425CG,16,,Gratamastraat,Deventer
7425CG,17,,Gratamastraat,Deventer
7425CG,18,,Gratamastraat,Deventer
7425CG,19,,Gratamastraat,Deventer
7425CG,20,,Gratamastraat,Deventer
7425CG,21,,Gratamastraat,Deventer
7425CG,22,,Gratamastraat,Deventer
7425CG,23,,Gratamastraat,Deventer
7425CG,25,,Gratamastraat,Deventer
7425CG,27,,Gratamastraat,Deventer
7425CG,29,,Gratamastraat,Deventer
7425CG,31,,Gratamastraat,Deventer
7411PH,2,,Graven,Deventer
7411PG,3,,Graven,Deventer
7411PG,5,,Graven,Deventer
7411PH,6,,Graven,Deventer
7411PG,7,,Graven,Deventer
7411PH,8,,Graven,Deventer
7411PG,9,,Graven,Deventer
7411PH,10,,Graven,Deventer
7411PG,11,,Graven,Deventer
7411PH,12,,Graven,Deventer
7411PG,13,,Graven,Deventer
7411PG,15,,Graven,Deventer
7411PH,16,,Graven,Deventer
7411PG,17,,Graven,Deventer
7411PH,18,,Graven,Deventer
7411PG,19,,Graven,Deventer
7411PH,20,,Graven,Deventer
7411PG,21,,Graven,Deventer
7411PH,22,,Graven,Deventer
7411PG,23,,Graven,Deventer
7411PH,24,,Graven,Deventer
7411PG,25,,Graven,Deventer
7411PH,26,,Graven,Deventer
7411PG,27,,Graven,Deventer
7411PH,28,,Graven,Deventer
7411PG,29,,Graven,Deventer
7411PH,30,,Graven,Deventer
7411PH,32,,Graven,Deventer
7411PH,34,,Graven,Deventer
7411PH,36,,Graven,Deventer
7411PH,38,,Graven,Deventer
7411PH,40,,Graven,Deventer
7425NB,2,,Gravenweg,Deventer
7425NB,3,,Gravenweg,Deventer
7417TA,1,,Grevelingenstraat,Deventer
7417TB,2,1,Grevelingenstraat,Deventer
7417TB,22,,Grevelingenstraat,Deventer
7417TB,2,3,Grevelingenstraat,Deventer
7417TB,24,,Grevelingenstraat,Deventer
7417TB,2,5,Grevelingenstraat,Deventer
7417TB,2,,Grevelingenstraat,Deventer
7417TA,3,,Grevelingenstraat,Deventer
7417TB,4,,Grevelingenstraat,Deventer
7417TA,5,,Grevelingenstraat,Deventer
7417TB,6,,Grevelingenstraat,Deventer
7417TA,7,,Grevelingenstraat,Deventer
7417TB,8,,Grevelingenstraat,Deventer
7417TA,9,,Grevelingenstraat,Deventer
7417TB,10,,Grevelingenstraat,Deventer
7417TA,11,,Grevelingenstraat,Deventer
7417TB,12,,Grevelingenstraat,Deventer
7417TA,13,,Grevelingenstraat,Deventer
7414GL,271,,Havezatelaan,Deventer
7414GL,273,1,Havezatelaan,Deventer
7414GL,273,2,Havezatelaan,Deventer
