6981DJ,57,,Meipoortstraat,Doesburg
6981AB,1,,Lindewal,Doesburg
6981AB,7,,Lindewal,Doesburg
6981JL,1,,Luykenhof,Doesburg
6981JK,6,,Luykenhof,Doesburg
6981JK,12,,Luykenhof,Doesburg
6981JL,17,,Luykenhof,Doesburg
6982CL,5,,Lijsterbeslaan,Doesburg
6982CM,10,,Lijsterbeslaan,Doesburg
6982CM,16,,Lijsterbeslaan,Doesburg
6982DJ,7,,Magnolialaan,Doesburg
6982DM,12,,Magnolialaan,Doesburg
6982DK,19,,Magnolialaan,Doesburg
6982DM,24,,Magnolialaan,Doesburg
6982DM,30,,Magnolialaan,Doesburg
6982DN,36,,Magnolialaan,Doesburg
6982DN,42,,Magnolialaan,Doesburg
6981JP,29,,Molenveldsingel,Doesburg
6981JP,35,,Molenveldsingel,Doesburg
6981JS,40,,Molenveldsingel,Doesburg
6981JS,46,,Molenveldsingel,Doesburg
6981JS,54,,Molenveldsingel,Doesburg
6981JS,64,,Molenveldsingel,Doesburg
6981EV,6,,Nassaustraat,Doesburg
6981JV,27,,Stenderinckstraat,Doesburg
6983HX,5,,Te Wyle,Doesburg
6983HX,11,,Te Wyle,Doesburg
6983HX,16,,Te Wyle,Doesburg
6983HX,22,,Te Wyle,Doesburg
6983HX,27,,Te Wyle,Doesburg
6981KA,7,,Tengbergenstraat,Doesburg
6983BG,34,,Molengaarde,Doesburg
6983BG,40,,Molengaarde,Doesburg
6983BD,45,,Molengaarde,Doesburg
6983BG,54,,Molengaarde,Doesburg
6983BH,60,,Molengaarde,Doesburg
6983BE,65,,Molengaarde,Doesburg
6983BE,71,,Molengaarde,Doesburg
6983HT,20,,Rogacker,Doesburg
6981BJ,3,,Roggestraat,Doesburg
6981BJ,9,,Roggestraat,Doesburg
6981BJ,19,,Roggestraat,Doesburg
6981GV,141,,Oranjesingel,Doesburg
6981GW,151,,Oranjesingel,Doesburg
6981AL,14,,Paardenmarkt,Doesburg
6983AV,4,,Potsmaat,Doesburg
6983AP,9,,Potsmaat,Doesburg
6983AP,15,,Potsmaat,Doesburg
6983AV,20,,Potsmaat,Doesburg
6983AV,26,,Potsmaat,Doesburg
6983AR,79,,Potsmaat,Doesburg
6983AS,85,,Potsmaat,Doesburg
6983AW,90,,Potsmaat,Doesburg
6983AX,96,,Potsmaat,Doesburg
6983AS,101,,Potsmaat,Doesburg
6983AX,106,,Potsmaat,Doesburg
6983AX,112,,Potsmaat,Doesburg
6983AS,117,,Potsmaat,Doesburg
6981GA,1,,Prins Hendrikstraat,Doesburg
6981GB,10,,Prins Hendrikstraat,Doesburg
6982CG,9,,Prunusstraat,Doesburg
6984AB,9,,Zomerweg,Doesburg
6982CG,15,,Prunusstraat,Doesburg
6981AK,1,,Putpad,Doesburg
6982CD,1,,Ribesstraat,Doesburg
6982CD,7,,Ribesstraat,Doesburg
6982CE,12,,Ribesstraat,Doesburg
6982CE,20,,Ribesstraat,Doesburg
6983EH,25,,Smitsweide,Doesburg
6983EJ,30,,Smitsweide,Doesburg
6983EJ,40,,Smitsweide,Doesburg
6983EK,52,,Smitsweide,Doesburg
6983EK,62,,Smitsweide,Doesburg
6983EK,74,,Smitsweide,Doesburg
6983EK,84,,Smitsweide,Doesburg
6983EL,94,,Smitsweide,Doesburg
6981DN,31,,Zandbergstraat,Doesburg
6981DN,37,,Zandbergstraat,Doesburg
6981DR,42,,Zandbergstraat,Doesburg
6981DR,48,,Zandbergstraat,Doesburg
6981DP,59,,Zandbergstraat,Doesburg
6981DP,71,,Zandbergstraat,Doesburg
6981DP,81,,Zandbergstraat,Doesburg
6981DR,4,,Zandbergstraat,Doesburg
6981LA,49,,Veerpoortdijk,Doesburg
6981LA,59,,Veerpoortdijk,Doesburg
6981LA,71,,Veerpoortdijk,Doesburg
6981LA,81,,Veerpoortdijk,Doesburg
6981LA,91,,Veerpoortdijk,Doesburg
6981LA,103,,Veerpoortdijk,Doesburg
6981BN,4,,Veerpoortstraat,Doesburg
6981LE,8,,IJsselkade,Doesburg
