7007HS,37,,Sambredal,Doetinchem
7007HS,39,,Sambredal,Doetinchem
7003BW,75,,Schimmelpennincklaan,Doetinchem
7011CV,5,,Schoolstraat,Gaanderen
7011CV,9,,Schoolstraat,Gaanderen
7031XG,1,,Schopperdenseweg,Wehl
7031XG,2,,Schopperdenseweg,Wehl
7031XG,3,,Schopperdenseweg,Wehl
7031XG,4,,Schopperdenseweg,Wehl
7031XG,6,,Schopperdenseweg,Wehl
7031XG,7,,Schopperdenseweg,Wehl
7031XG,8,,Schopperdenseweg,Wehl
7031XG,10,,Schopperdenseweg,Wehl
7001DK,1,,Schouwburgplein,Doetinchem
7001BG,9,06,Waterstraat,Doetinchem
7001BG,9,08,Waterstraat,Doetinchem
7001BG,9,09,Waterstraat,Doetinchem
7001BG,9,10,Waterstraat,Doetinchem
7001BG,9,11,Waterstraat,Doetinchem
7001BG,9,12,Waterstraat,Doetinchem
7001BH,10,,Waterstraat,Doetinchem
7001BG,11,,Waterstraat,Doetinchem
7001BH,12,,Waterstraat,Doetinchem
7001BH,14,,Waterstraat,Doetinchem
7001BH,18,,Waterstraat,Doetinchem
7001BH,20,,Waterstraat,Doetinchem
7001BH,22,,Waterstraat,Doetinchem
7001BH,28,,Waterstraat,Doetinchem
7001BH,30,,Waterstraat,Doetinchem
7031ZD,1,,Prins Willem-Alexanderstraat,Wehl
7031ZD,2,,Prins Willem-Alexanderstraat,Wehl
7031ZD,3,,Prins Willem-Alexanderstraat,Wehl
7031ZD,4,,Prins Willem-Alexanderstraat,Wehl
7031ZD,5,,Prins Willem-Alexanderstraat,Wehl
7031ZD,6,,Prins Willem-Alexanderstraat,Wehl
7031ZD,9,,Prins Willem-Alexanderstraat,Wehl
7004BS,15,,Reigerlaan,Doetinchem
7004BS,17,,Reigerlaan,Doetinchem
7004BS,21,,Reigerlaan,Doetinchem
7004BS,23,,Reigerlaan,Doetinchem
7007JC,1,,Hof van Reims,Doetinchem
7007JC,4,,Hof van Reims,Doetinchem
7007JC,7,,Hof van Reims,Doetinchem
7004GL,2,,Rekhemseweg,Doetinchem
7004GL,4,,Rekhemseweg,Doetinchem
7004GK,5,,Rekhemseweg,Doetinchem
7004GL,8,,Rekhemseweg,Doetinchem
7004GK,9,,Rekhemseweg,Doetinchem
