5394LH,5,,Hoogveldsestraat,Oijen
5394LH,11,,Hoogveldsestraat,Oijen
5394LH,15,,Hoogveldsestraat,Oijen
5394LH,17,,Hoogveldsestraat,Oijen
5394LH,19,,Hoogveldsestraat,Oijen
5394LL,2,,Kasteelstraat,Oijen
5397LR,39,,Melkdam,Lith
5397LS,40,,Melkdam,Lith
5397LT,6,,Den Hul,Lith
5397LW,4,,Heuvelskamp,Lith
5397LX,7,,Mutjeskamp,Lith
5397LX,8,,Mutjeskamp,Lith
5397LX,9,,Mutjeskamp,Lith
5396NT,9,,Batterijstraat,Lithoijen
5396NT,19,,Batterijstraat,Lithoijen
5396NT,23,,Batterijstraat,Lithoijen
5396NT,25,,Batterijstraat,Lithoijen
5396PD,1,,Dorpspad,Lithoijen
5396PD,2,,Dorpspad,Lithoijen
5396PG,1,,Dorpsstraat,Lithoijen
5396PG,2,,Dorpsstraat,Lithoijen
5397BZ,15,,Kapelse Wiel,Lith
5397BZ,17,,Kapelse Wiel,Lith
5397BZ,2,,Kapelse Wiel,Lith
5397BZ,10,,Kapelse Wiel,Lith
5397BZ,12,,Kapelse Wiel,Lith
5397BZ,16,,Kapelse Wiel,Lith
5397BZ,18,,Kapelse Wiel,Lith
5397BZ,20,,Kapelse Wiel,Lith
5397GL,3,70,De Lithse Ham,Lith
5397GL,3,39,De Lithse Ham,Lith
5397AJ,1,,Elsbergen,Lith
5397AJ,5,,Elsbergen,Lith
5397AJ,14,,Elsbergen,Lith
5397BG,2,,Engwijkpad,Lith
5397BG,14,,Engwijkpad,Lith
5397BG,26,,Engwijkpad,Lith
5397BG,36,,Engwijkpad,Lith
5397BG,40,,Engwijkpad,Lith
5397BG,46,,Engwijkpad,Lith
5397LN,4,GED,Gewandeweg,Lith
5397BL,2,,Pastoor van Hapertstraat,Lith
5397BJ,5,,Pastoor van Hapertstraat,Lith
5397BM,10,,Pastoor van Hapertstraat,Lith
5397BM,14,,Pastoor van Hapertstraat,Lith
5397BM,20,,Pastoor van Hapertstraat,Lith
5397BK,31,,Pastoor van Hapertstraat,Lith
5394AK,1,,Kloosterstraat,Oijen
5394LE,5,,Korenstraat,Oijen
5394LP,4,,Lutterweg,Oijen
5394LP,6,,Lutterweg,Oijen
5394LP,7,,Lutterweg,Oijen
5394LP,8,,Lutterweg,Oijen
5394LP,9,,Lutterweg,Oijen
5394LP,11,,Lutterweg,Oijen
5394LP,13,,Lutterweg,Oijen
5394LP,15,,Lutterweg,Oijen
5394LP,17,,Lutterweg,Oijen
5394AP,2,,Dirk van Meerhemgaarde,Oijen
5394AP,3,,Dirk van Meerhemgaarde,Oijen
5394AP,5,,Dirk van Meerhemgaarde,Oijen
5394AP,7,,Dirk van Meerhemgaarde,Oijen
5394AP,11,,Dirk van Meerhemgaarde,Oijen
5394AN,4,,Zuster Mechelinastraat,Oijen
5394AL,5,,Zuster Mechelinastraat,Oijen
5394AN,8,,Zuster Mechelinastraat,Oijen
5394AL,9,,Zuster Mechelinastraat,Oijen
5394AN,12,,Zuster Mechelinastraat,Oijen
5397AK,10,,De Woerd,Lith
5397AL,11,,De Woerd,Lith
5397AK,12,,De Woerd,Lith
5397AL,15,,De Woerd,Lith
5397AK,16,,De Woerd,Lith
5397AL,17,,De Woerd,Lith
5397AK,26,,De Woerd,Lith
5397AK,30,,De Woerd,Lith
5397GH,1,,Zomerstraat,Lith
5397GH,15,,Zomerstraat,Lith
5397GH,21,,Zomerstraat,Lith
5397GH,14,,Zomerstraat,Lith
5397HB,6,,Heilig Kempke,Lith
5397HA,7,,Heilig Kempke,Lith
5397HA,33,,Heilig Kempke,Lith
5397LS,4,,Melkdam,Lith
5397LR,5,,Melkdam,Lith
5397LR,19,,Melkdam,Lith
5397LS,20,,Melkdam,Lith
5397LS,24,,Melkdam,Lith
5397LR,25,,Melkdam,Lith
5397LS,38,,Melkdam,Lith
5396PK,6,,Stuwstraat,Lithoijen
5394LM,36,,Bernhardweg,Oijen
5394BB,2,,Pastoor van de Mortelstraat,Oijen
5394AL,21,,Zuster Mechelinastraat,Oijen
5394AL,29,,Zuster Mechelinastraat,Oijen
5394AM,37,,Zuster Mechelinastraat,Oijen
5394AM,39,,Zuster Mechelinastraat,Oijen
5394AM,43,,Zuster Mechelinastraat,Oijen
5394AM,45,,Zuster Mechelinastraat,Oijen
