2312HB,45,,Oude Rijn,Leiden
2312HK,124,,Oude Rijn,Leiden
2312RB,52,,Oude Singel,Leiden
2312RC,64,,Oude Singel,Leiden
2312RD,72,,Oude Singel,Leiden
2312RH,188,,Oude Singel,Leiden
2312RH,190,,Oude Singel,Leiden
2312RH,196,,Oude Singel,Leiden
2311VP,2,,Oude Varkenmarkt,Leiden
2311VN,17,,Oude Varkenmarkt,Leiden
2312XR,27,,Oude Vest,Leiden
2312XS,59,,Oude Vest,Leiden
2312XX,185,,Oude Vest,Leiden
2312XZ,236,,Oude Vest,Leiden
2312XZ,240,,Oude Vest,Leiden
2317SZ,150,,Papiermolen,Leiden
2315VK,66,,Paramaribostraat,Leiden
2312ZD,26,,Paul Krugerstraat,Leiden
2312DW,17,,Pelikaanstraat,Leiden
2312DW,44,,Pelikaanstraat,Leiden
2321JD,41,,Plantijnstraat,Leiden
2321XW,7,,Potgieterlaan,Leiden
2312ZP,13,,President Steinstraat,Leiden
2316HK,61,,Prinsenstraat,Leiden
2311PK,17,,Raamsteeg,Leiden
2311GH,57,,Rapenburg,Leiden
2311GL,101,,Rapenburg,Leiden
2311AJ,4,,Rijn en Schiekade,Leiden
2311AM,77,,Rijn en Schiekade,Leiden
