64,8226EJ,Hollands Diepstraat,Lelystad
5,8226LN,Elbestraat,Lelystad
66,8226EJ,Hollands Diepstraat,Lelystad
68,8226EJ,Hollands Diepstraat,Lelystad
46,8226EH,Hollands Diepstraat,Lelystad
48,8226EH,Hollands Diepstraat,Lelystad
52,8226EH,Hollands Diepstraat,Lelystad
54,8226EH,Hollands Diepstraat,Lelystad
15,8225NK,Horst 30,Lelystad
58,8226EH,Hollands Diepstraat,Lelystad
34,8226EH,Hollands Diepstraat,Lelystad
3,8226LN,Elbestraat,Lelystad
40,8226EH,Hollands Diepstraat,Lelystad
42,8226EH,Hollands Diepstraat,Lelystad
14,8226EE,Hollands Diepstraat,Lelystad
18,8226EE,Hollands Diepstraat,Lelystad
24,8226EE,Hollands Diepstraat,Lelystad
117,8244AZ,Purmer,Lelystad
121,8244AZ,Purmer,Lelystad
20,8241AB,Golfpark,Lelystad
127,8244AZ,Purmer,Lelystad
121,8244AM,Schermer,Lelystad
107,8244AZ,Purmer,Lelystad
71,8244AX,Purmer,Lelystad
75,8244AX,Purmer,Lelystad
79,8244AX,Purmer,Lelystad
95,8244AZ,Purmer,Lelystad
97,8244AZ,Purmer,Lelystad
99,8244AZ,Purmer,Lelystad
105,8244AZ,Purmer,Lelystad
43,8244AX,Purmer,Lelystad
47,8244AX,Purmer,Lelystad
37,8225PA,Horst 26,Lelystad
59,8244AX,Purmer,Lelystad
61,8244AX,Purmer,Lelystad
63,8244AX,Purmer,Lelystad
67,8244AX,Purmer,Lelystad
39,8244AW,Purmer,Lelystad
41,8244AX,Purmer,Lelystad
23,8244AW,Purmer,Lelystad
43,8222RB,Bronsweg,Lelystad
29,8244AW,Purmer,Lelystad
33,8244AW,Purmer,Lelystad
38,8244AS,Purmer,Lelystad
40,8244AS,Purmer,Lelystad
42,8223BD,Muiderzand,Lelystad
25,8223BD,Muiderzand,Lelystad
32,8223BD,Muiderzand,Lelystad
40,8231BB,Karveel 20,Lelystad
36,8231BB,Karveel 20,Lelystad
24,8231BA,Karveel 20,Lelystad
28,8231BA,Karveel 20,Lelystad
20,8231BA,Karveel 20,Lelystad
16,8231BA,Karveel 20,Lelystad
4,8231BA,Karveel 20,Lelystad
